organism	ec	temperature
aureobasidium_sp	3.2.1.4	37.0
aureobasidium_sp	3.2.1.74	37.0
aureobasidium_sp	3.2.1.8	37.0
aureobasidium_sp	3.2.1.21	37.0
bactris_gasipaes	1.14.18.1	25.0
hexagrammos_otakii	3.2.1.14	60.0
hexagrammos_otakii	3.2.1.14	70.0
bacillus_subtilis	1.1.3.6	37.0
bacillus_subtilis	3.1.22.4	37.0
bacillus_subtilis	6.3.2.49	37.0
bacillus_subtilis	6.3.2.49	37.0
bacillus_subtilis	6.3.2.49	40.0
bacillus_subtilis	6.3.2.48	30.0
bacillus_subtilis	6.3.2.48	37.0
bacillus_subtilis	3.2.1.136	35.0
bacillus_subtilis	3.2.1.136	37.0
bacillus_subtilis	3.2.1.135	40.0
bacillus_subtilis	1.2.1.41	25.0
bacillus_subtilis	4.1.1.61	45.0
bacillus_subtilis	2.4.2.9	37.0
bacillus_subtilis	2.1.1.80	20.0
bacillus_subtilis	3.6.1.23	8.0
bacillus_subtilis	3.4.21.107	45.0
bacillus_subtilis	3.4.21.105	25.0
bacillus_subtilis	3.4.21.105	37.0
bacillus_subtilis	3.4.21.102	25.0
bacillus_subtilis	3.1.4.37	30.0
bacillus_subtilis	3.2.1.32	60.0
bacillus_subtilis	3.2.1.37	50.0
bacillus_subtilis	1.3.1.10	25.0
bacillus_subtilis	1.3.1.12	32.0
bacillus_subtilis	4.99.1.9	30.0
bacillus_subtilis	3.5.4.12	37.0
bacillus_subtilis	2.3.1.15	30.0
bacillus_subtilis	1.1.1.95	25.0
bacillus_subtilis	3.6.1.39	37.0
bacillus_subtilis	4.2.1.136	5.0
bacillus_subtilis	2.1.1.74	25.0
bacillus_subtilis	2.1.1.74	37.0
bacillus_subtilis	2.1.1.74	37.0
bacillus_subtilis	4.2.2.24	30.0
bacillus_subtilis	4.2.2.24	30.0
bacillus_subtilis	4.2.2.24	60.0
bacillus_subtilis	5.3.2.5	25.0
bacillus_subtilis	1.1.1.75	45.0
bacillus_subtilis	2.7.1.113	37.0
bacillus_subtilis	5.3.2.6	23.0
bacillus_subtilis	3.4.21.62	37.0
bacillus_subtilis	3.4.21.62	37.0
bacillus_subtilis	3.4.21.62	45.0
bacillus_subtilis	3.4.21.62	50.0
bacillus_subtilis	3.4.21.62	60.0
bacillus_subtilis	3.4.11.4	60.0
bacillus_subtilis	3.4.11.6	30.0
bacillus_subtilis	3.5.1.11	40.0
bacillus_subtilis	1.6.99.3	37.0
bacillus_subtilis	2.8.3.5	30.0
bacillus_subtilis	2.5.1.6	45.0
bacillus_subtilis	5.3.1.4	32.0
bacillus_subtilis	1.17.4.1	37.0
bacillus_subtilis	6.3.4.21	37.0
bacillus_subtilis	3.1.3.8	37.0
bacillus_subtilis	3.1.3.8	37.0
bacillus_subtilis	3.1.3.8	50.0
bacillus_subtilis	3.1.3.8	55.0
bacillus_subtilis	3.1.3.8	55.0
bacillus_subtilis	3.1.3.8	55.0
bacillus_subtilis	3.1.3.8	55.0
bacillus_subtilis	3.1.3.8	55.0
bacillus_subtilis	3.1.3.8	60.0
bacillus_subtilis	3.1.3.8	60.0
bacillus_subtilis	2.6.1.62	37.0
bacillus_subtilis	2.5.1.9	37.0
bacillus_subtilis	2.5.1.9	37.0
bacillus_subtilis	2.5.1.9	37.0
bacillus_subtilis	4.1.1.19	75.0
bacillus_subtilis	3.5.4.26	37.0
bacillus_subtilis	3.5.4.25	37.0
bacillus_subtilis	1.1.1.85	40.0
bacillus_subtilis	2.7.1.4	25.0
bacillus_subtilis	2.7.1.2	32.0
