organism	ec	temperature
bacillus_subtilis	3.5.1.3	37.0
bacillus_subtilis	3.5.1.3	37.0
bacillus_subtilis	3.5.1.3	45.0
bacillus_subtilis	3.5.1.1	40.0
bacillus_subtilis	1.5.99.B2	25.0
bacillus_subtilis	3.2.1.81	40.0
bacillus_subtilis	2.4.1.10	0.0
bacillus_subtilis	2.4.1.10	22.0
bacillus_subtilis	2.4.1.10	25.0
bacillus_subtilis	2.4.1.10	30.0
bacillus_subtilis	2.4.1.10	30.0
bacillus_subtilis	2.4.1.10	30.0
bacillus_subtilis	2.4.1.10	30.0
bacillus_subtilis	2.4.1.10	30.0
bacillus_subtilis	2.4.1.10	37.0
bacillus_subtilis	2.4.1.10	37.0
bacillus_subtilis	2.7.1.100	25.0
bacillus_subtilis	2.7.1.100	25.0
bacillus_subtilis	1.2.1.67	37.0
bacillus_subtilis	2.3.1.41	37.0
bacillus_subtilis	5.1.1.1	37.0
bacillus_subtilis	5.1.1.1	50.0
bacillus_subtilis	5.1.1.1	55.0
bacillus_subtilis	3.2.1.78	45.0
bacillus_subtilis	3.2.1.78	50.0
bacillus_subtilis	3.2.1.78	50.0
bacillus_subtilis	3.2.1.78	50.0
bacillus_subtilis	3.2.1.78	50.0
bacillus_subtilis	3.2.1.78	60.0
bacillus_subtilis	3.2.1.78	65.0
bacillus_subtilis	3.2.1.78	70.0
bacillus_subtilis	2.4.1.315	30.0
bacillus_subtilis	1.14.14.22	50.0
bacillus_subtilis	1.14.14.21	30.0
bacillus_subtilis	1.14.14.21	50.0
bacillus_subtilis	2.7.8.7	37.0
bacillus_subtilis	3.2.1.11	70.0
bacillus_subtilis	6.3.4.15	30.0
bacillus_subtilis	3.2.1.15	60.0
bacillus_subtilis	3.2.1.14	25.0
bacillus_subtilis	3.2.1.14	37.0
bacillus_subtilis	3.2.1.14	50.0
bacillus_subtilis	2.7.1.76	37.0
bacillus_subtilis	1.1.1.18	25.0
bacillus_subtilis	3.1.1.20	40.0
bacillus_subtilis	3.2.1.132	45.0
bacillus_subtilis	3.2.1.132	60.0
bacillus_subtilis	4.3.3.6	37.0
bacillus_subtilis	4.3.3.6	37.0
bacillus_subtilis	4.3.3.6	37.0
bacillus_subtilis	4.3.3.6	37.0
bacillus_subtilis	3.2.1.91	37.0
bacillus_subtilis	1.4.3.16	25.0
bacillus_subtilis	3.2.1.93	30.0
bacillus_subtilis	2.6.1.105	37.0
bacillus_subtilis	3.2.1.99	50.0
bacillus_subtilis	3.2.1.99	60.0
bacillus_subtilis	3.2.1.99	60.0
bacillus_subtilis	3.2.1.99	60.0
bacillus_subtilis	3.2.1.98	65.0
bacillus_subtilis	1.4.3.19	37.0
bacillus_subtilis	1.4.3.19	37.0
bacillus_subtilis	1.4.3.19	45.0
bacillus_subtilis	1.4.3.19	50.0
bacillus_subtilis	1.3.1.9	25.0
bacillus_subtilis	3.1.30.1	37.0
bacillus_subtilis	4.2.2.16	50.0
bacillus_subtilis	3.4.14.13	37.0
bacillus_subtilis	3.6.1.15	37.0
bacillus_subtilis	1.10.3.2	25.0
bacillus_subtilis	1.10.3.2	37.0
bacillus_subtilis	3.1.3.35	37.0
bacillus_subtilis	3.1.3.35	42.0
bacillus_subtilis	3.1.3.35	42.0
bacillus_subtilis	6.3.1.2	42.0
bacillus_subtilis	2.4.1.162	30.0
bacillus_subtilis	2.4.1.162	50.0
bacillus_subtilis	2.7.1.49	37.0
bacillus_subtilis	3.1.3.26	37.0
bacillus_subtilis	3.1.3.26	55.0
bacillus_subtilis	3.1.3.26	55.0
bacillus_subtilis	3.1.3.26	55.0
bacillus_subtilis	3.1.3.26	60.0
bacillus_subtilis	3.2.1.172	30.0
bacillus_subtilis	4.1.99.12	37.0
bacillus_subtilis	5.3.3.2	37.0
bacillus_subtilis	3.2.1.67	50.0
bacillus_subtilis	3.4.24.28	37.0
bacillus_subtilis	4.4.1.21	23.0
bacillus_subtilis	4.1.1.2	21.0
bacillus_subtilis	4.1.1.2	22.0
bacillus_subtilis	4.1.1.2	23.0
bacillus_subtilis	4.1.1.2	25.0
bacillus_subtilis	4.1.1.2	25.0
bacillus_subtilis	4.1.1.2	25.0
bacillus_subtilis	4.1.1.2	26.0
bacillus_subtilis	4.1.1.2	26.0
bacillus_subtilis	4.1.1.2	26.0
bacillus_subtilis	4.1.1.2	26.0
bacillus_subtilis	4.1.1.2	37.0
bacillus_subtilis	4.1.1.2	37.0
bacillus_subtilis	4.1.1.2	50.0
bacillus_subtilis	1.14.13.39	25.0
bacillus_subtilis	1.14.13.39	37.0
bacillus_subtilis	3.1.27.2	30.0
bacillus_subtilis	3.1.27.2	37.0
bacillus_subtilis	3.1.27.2	37.0
bacillus_subtilis	3.1.27.2	37.0
bacillus_subtilis	2.5.1.78	27.0
bacillus_subtilis	2.5.1.78	27.0
bacillus_subtilis	2.5.1.78	37.0
bacillus_subtilis	2.5.1.78	37.0
bacillus_subtilis	2.5.1.78	37.0
bacillus_subtilis	2.5.1.78	37.0
bacillus_subtilis	2.5.1.78	37.0
bacillus_subtilis	3.1.1.41	40.0
bacillus_subtilis	3.1.1.41	40.0
bacillus_subtilis	3.1.1.41	40.0
bacillus_subtilis	3.1.1.41	55.0
bacillus_subtilis	3.1.1.41	55.0
bacillus_subtilis	3.1.21.4	30.0
bacillus_subtilis	3.1.21.4	37.0
bacillus_subtilis	3.6.3.32	22.0
bacillus_subtilis	1.5.1.30	23.0
bacillus_subtilis	1.5.1.30	23.0
bacillus_subtilis	1.5.1.30	50.0
bacillus_subtilis	1.18.1.2	24.0
bacillus_subtilis	1.18.1.2	25.0
bacillus_subtilis	1.18.1.2	25.0
bacillus_subtilis	3.5.3.8	37.0
bacillus_subtilis	5.3.1.8	40.0
bacillus_subtilis	5.3.3.19	22.0
bacillus_subtilis	5.3.3.19	22.0
bacillus_subtilis	5.3.3.19	37.0
bacillus_subtilis	3.1.3.23	65.0
bacillus_subtilis	3.5.3.1	45.0
bacillus_subtilis	2.5.1.10	37.0
bacillus_subtilis	2.6.1.1	45.0
bacillus_subtilis	4.1.99.14	22.0
bacillus_subtilis	4.1.99.14	22.0
bacillus_subtilis	4.1.99.14	37.0
bacillus_subtilis	4.2.2.23	30.0
bacillus_subtilis	4.2.2.23	30.0
bacillus_subtilis	4.2.2.23	30.0
bacillus_subtilis	4.2.2.23	65.0
bacillus_subtilis	1.1.1.193	37.0
bacillus_subtilis	3.2.1.73	40.0
bacillus_subtilis	3.2.1.73	50.0
bacillus_subtilis	3.2.1.73	50.0
bacillus_subtilis	3.2.1.73	55.0
bacillus_subtilis	3.2.1.73	55.0
bacillus_subtilis	3.2.1.73	60.0
bacillus_subtilis	3.2.1.73	60.0
bacillus_subtilis	3.2.1.73	60.0
bacillus_subtilis	3.2.1.73	60.0
bacillus_subtilis	3.2.1.73	60.0
bacillus_subtilis	3.2.1.73	70.0
bacillus_subtilis	2.7.7.6	37.0
bacillus_subtilis	3.1.1.3	25.0
bacillus_subtilis	3.1.1.3	37.0
bacillus_subtilis	1.7.1.B3	23.0
bacillus_subtilis	3.1.1.72	40.0
bacillus_subtilis	3.1.1.1	30.0
bacillus_subtilis	3.1.1.1	37.0
bacillus_subtilis	3.1.1.1	40.0
bacillus_subtilis	3.1.1.1	40.0
bacillus_subtilis	3.1.1.1	50.0
bacillus_subtilis	2.7.7.39	37.0
bacillus_subtilis	2.7.7.39	50.0
bacillus_subtilis	3.6.99.B1	35.0
bacillus_subtilis	1.11.1.6	37.0
bacillus_subtilis	1.11.1.6	40.0
bacillus_subtilis	1.7.3.3	37.0
bacillus_subtilis	2.4.1.52	37.0
bacillus_subtilis	2.4.1.53	37.0
bacillus_subtilis	1.3.3.4	22.0
bacillus_subtilis	1.3.3.4	25.0
bacillus_subtilis	1.3.3.4	25.0
bacillus_subtilis	1.3.3.5	80.0
bacillus_subtilis	5.1.1.3	37.0
bacillus_subtilis	5.1.1.3	40.0
bacillus_subtilis	3.2.1.8	40.0
bacillus_subtilis	3.2.1.8	40.0
bacillus_subtilis	3.2.1.8	50.0
bacillus_subtilis	3.2.1.8	50.0
bacillus_subtilis	3.2.1.8	50.0
bacillus_subtilis	3.2.1.8	55.0
bacillus_subtilis	3.2.1.8	60.0
bacillus_subtilis	3.2.1.8	65.0
bacillus_subtilis	3.2.1.8	70.0
bacillus_subtilis	3.2.1.4	40.0
bacillus_subtilis	3.2.1.4	45.0
bacillus_subtilis	3.2.1.4	45.0
bacillus_subtilis	3.2.1.4	50.0
bacillus_subtilis	3.2.1.4	50.0
bacillus_subtilis	3.2.1.4	50.0
bacillus_subtilis	3.2.1.4	50.0
bacillus_subtilis	3.2.1.4	60.0
bacillus_subtilis	3.2.1.4	60.0
bacillus_subtilis	3.2.1.4	60.0
bacillus_subtilis	3.2.1.4	60.0
bacillus_subtilis	3.2.1.4	60.0
bacillus_subtilis	3.2.1.4	65.0
bacillus_subtilis	1.1.1.B20	37.0
bacillus_subtilis	3.2.1.6	40.0
bacillus_subtilis	3.2.1.6	50.0
bacillus_subtilis	3.2.1.1	45.0
bacillus_subtilis	3.2.1.1	50.0
bacillus_subtilis	3.2.1.1	50.0
bacillus_subtilis	3.2.1.1	52.0
bacillus_subtilis	3.2.1.1	55.0
bacillus_subtilis	3.2.1.1	60.0
bacillus_subtilis	3.2.1.1	60.0
bacillus_subtilis	3.2.1.1	60.0
bacillus_subtilis	3.2.1.1	60.0
bacillus_subtilis	3.2.1.1	60.0
bacillus_subtilis	3.2.1.1	65.0
bacillus_subtilis	3.2.1.1	65.0
bacillus_subtilis	3.2.1.1	65.0
bacillus_subtilis	3.2.1.1	65.0
bacillus_subtilis	3.2.1.1	65.0
bacillus_subtilis	3.2.1.1	65.0
bacillus_subtilis	3.2.1.1	70.0
bacillus_subtilis	1.2.1.13	37.0
bacillus_subtilis	3.2.1.41	40.0
bacillus_subtilis	1.11.1.19	20.0
bacillus_subtilis	1.11.1.19	20.0
bacillus_subtilis	1.11.1.19	30.0
bacillus_subtilis	1.11.1.19	50.0
bacillus_subtilis	4.2.1.1	37.0
bacillus_subtilis	2.3.1.9	37.0
bacillus_subtilis	3.2.1.55	35.0
bacillus_subtilis	3.2.1.55	45.0
bacillus_subtilis	3.2.1.55	50.0
bacillus_subtilis	3.2.1.55	60.0
bacillus_subtilis	3.2.1.55	60.0
bacillus_subtilis	3.2.1.55	60.0
bacillus_subtilis	3.2.1.55	60.0
bacillus_subtilis	3.2.1.55	60.0
bacillus_subtilis	4.2.2.2	37.0
bacillus_subtilis	4.2.2.2	40.0
bacillus_subtilis	4.2.2.2	42.0
bacillus_subtilis	4.2.2.2	50.0
bacillus_subtilis	4.2.2.2	50.0
bacillus_subtilis	4.2.2.2	60.0
bacillus_subtilis	4.2.2.2	60.0
bacillus_subtilis	4.2.2.2	65.0
bacillus_subtilis	4.2.2.2	65.0
bacillus_subtilis	4.2.2.2	65.0
bacillus_subtilis	4.2.2.2	65.0
bacillus_subtilis	2.2.1.6	37.0
bacillus_subtilis	2.2.1.6	50.0
bacillus_subtilis	5.1.1.20	37.0
bacillus_subtilis	2.7.1.23	35.0
bacillus_subtilis	3.1.1.61	28.0
bacillus_subtilis	2.7.1.26	52.0
bacillus_subtilis	3.1.26.5	37.0
bacillus_subtilis	3.1.26.5	37.0
bacillus_subtilis	3.1.26.5	37.0
bacillus_subtilis	3.1.26.5	37.0
bacillus_subtilis	4.2.1.109	40.0
bacillus_subtilis	1.1.1.49	25.0
bacillus_subtilis	1.1.1.205	25.0
bacillus_subtilis	2.7.7.47	35.0
bacillus_subtilis	2.7.8.12	30.0
bacillus_subtilis	2.7.8.12	37.0
bacillus_subtilis	2.7.8.13	22.0
bacillus_subtilis	2.7.8.13	37.0
bacillus_subtilis	1.1.1.47	25.0
bacillus_subtilis	1.1.1.47	30.0
bacillus_subtilis	1.1.1.47	45.0
bacillus_subtilis	2.4.1.187	25.0
bacillus_subtilis	1.1.1.42	25.0
bacillus_subtilis	1.1.1.42	37.0
bacillus_subtilis	2.5.1.31	37.0
bacillus_subtilis	2.5.1.31	37.0
bacillus_subtilis	3.2.1.203	45.0
bacillus_subtilis	2.7.4.8	30.0
bacillus_subtilis	1.1.1.23	41.0
bacillus_subtilis	1.1.1.23	92.0
bacillus_subtilis	2.3.3.16	30.0
bacillus_subtilis	4.1.1.20	25.0
bacillus_subtilis	4.3.2.2	25.0
bacillus_subtilis	4.3.2.2	25.0
bacillus_subtilis	4.3.2.2	25.0
bacillus_subtilis	4.3.2.2	25.0
bacillus_subtilis	2.1.1.217	37.0
bacillus_subtilis	1.4.1.1	30.0
bacillus_subtilis	1.4.1.1	30.0
bacillus_subtilis	1.4.1.1	42.0
bacillus_subtilis	1.2.1.27	30.0
bacillus_subtilis	1.4.1.5	37.0
bacillus_subtilis	2.7.13.3	24.0
bacillus_subtilis	2.7.13.3	25.0
bacillus_subtilis	2.7.6.5	37.0
bacillus_subtilis	3.5.4.5	37.0
bacillus_subtilis	6.1.1.13	37.0
bacillus_subtilis	6.1.1.17	37.0
bacillus_subtilis	6.1.1.17	37.0
bacillus_subtilis	1.6.3.4	35.0
bacillus_subtilis	2.7.1.33	25.0
bacillus_subtilis	4.2.1.84	30.0
bacillus_subtilis	1.1.1.370	37.0
bacillus_subtilis	1.1.1.371	37.0
bacillus_subtilis	4.2.1.75	45.0
bacillus_subtilis	2.1.1.184	25.0
bacillus_subtilis	2.1.1.184	25.0
bacillus_subtilis	2.1.1.184	25.0
bacillus_subtilis	2.1.1.184	37.0
bacillus_subtilis	2.1.1.184	37.0
bacillus_subtilis	2.1.1.184	37.0
bacillus_subtilis	6.3.2.B16	30.0
bacillus_subtilis	6.3.2.B16	40.0
bacillus_subtilis	1.4.3.5	23.0
bacillus_subtilis	2.4.1.18	30.0
bacillus_subtilis	2.4.1.18	30.0
bacillus_subtilis	2.4.1.19	65.0
bacillus_subtilis	2.4.1.19	65.0
bacillus_subtilis	6.1.1.5	22.0
bacillus_subtilis	3.2.1.89	48.0
bacillus_subtilis	2.1.1.188	37.0
bacillus_subtilis	6.1.1.2	22.0
bacillus_subtilis	6.1.1.2	22.0
bacillus_subtilis	6.1.1.2	25.0
bacillus_subtilis	4.2.1.17	25.0
bacillus_subtilis	3.4.24.B24	37.0
bacillus_subtilis	3.5.1.72	45.0
bacillus_subtilis	3.6.3.44	24.0
bacillus_subtilis	3.6.3.44	25.0
bacillus_subtilis	3.6.3.44	25.0
bacillus_subtilis	3.6.3.44	37.0
bacillus_subtilis	3.6.3.44	37.0
bacillus_subtilis	3.6.3.44	37.0
bacillus_subtilis	4.2.3.27	37.0
bacillus_subtilis	3.4.21.116	37.0
bacillus_subtilis	3.4.24.72	50.0
bacillus_subtilis	3.2.1.20	42.0
bacillus_subtilis	3.2.1.23	50.0
bacillus_subtilis	4.2.3.1	35.0
bacillus_subtilis	2.3.1.180	37.0
bacillus_subtilis	2.3.1.181	37.0
bacillus_subtilis	3.6.4.13	37.0
bacillus_subtilis	4.1.1.72	30.0
bacillus_subtilis	3.1.3.87	25.0
bacillus_subtilis	5.1.3.7	30.0
bacillus_subtilis	5.1.3.7	40.0
bacillus_subtilis	3.5.1.104	37.0
bacillus_subtilis	3.4.11.10	30.0
bacillus_subtilis	3.4.11.10	60.0
bacillus_subtilis	4.3.1.19	22.0
bacillus_subtilis	2.3.2.2	37.0
bacillus_subtilis	2.3.2.2	40.0
bacillus_subtilis	2.3.2.2	60.0
bacillus_subtilis	2.3.2.3	37.0
streptomyces_megasporus	3.2.1.1	60.0
aromatoleum_aromaticum	1.17.99.2	30.0
aromatoleum_aromaticum	6.4.1.8	30.0
larrea_tridentata	1.1.1.318	30.0
vargula_hilgendorfii	1.13.12.6	25.0
ocimum_basilicum	2.3.1.133	37.0
ocimum_basilicum	6.2.1.12	22.0
ocimum_basilicum	1.1.1.318	25.0
ocimum_basilicum	1.1.1.318	28.0
ocimum_basilicum	3.1.7.11	37.0
ocimum_basilicum	1.10.3.1	20.0
ocimum_basilicum	1.10.3.1	40.0
ocimum_basilicum	1.10.3.1	50.0
fusidium_sp	3.2.1.1	50.0
koliella_antarctica	1.1.1.49	35.0
arthrobacter_synephrinum	1.13.11.15	50.0
arthrobacter_synephrinum	4.2.1.88	30.0
orobanche_minor	3.2.1.21	50.0
clostridium_chauvoei	3.2.1.18	35.0
clostridium_chauvoei	3.2.1.18	37.0
clostridium_chauvoei	3.2.1.18	40.0
paenibacillus_pabuli	2.4.1.19	60.0
paenibacillus_pabuli	2.4.1.19	65.0
pseudomonas_protegens	3.4.21.53	30.0
pseudomonas_protegens	3.4.19.13	50.0
cephalosporium_eichhorniae	3.2.1.3	45.0
cephalosporium_eichhorniae	3.2.1.3	46.0
silurus_glanis	1.14.14.1	30.0
silurus_glanis	1.14.14.1	30.0
deinagkistrodon_acutus	3.2.2.5	37.0
deinagkistrodon_acutus	3.2.2.5	37.0
deinagkistrodon_acutus	3.2.2.5	37.0
deinagkistrodon_acutus	3.2.2.5	37.0
deinagkistrodon_acutus	3.2.2.5	40.0
kluyveromyces_lactis	2.1.1.41	35.0
kluyveromyces_lactis	3.2.1.23	22.0
kluyveromyces_lactis	3.2.1.23	25.0
kluyveromyces_lactis	3.2.1.23	28.0
kluyveromyces_lactis	3.2.1.23	30.0
kluyveromyces_lactis	3.2.1.23	35.0
kluyveromyces_lactis	3.2.1.23	37.0
kluyveromyces_lactis	3.2.1.23	37.0
kluyveromyces_lactis	3.2.1.23	37.0
kluyveromyces_lactis	3.2.1.23	40.0
kluyveromyces_lactis	3.2.1.23	40.0
kluyveromyces_lactis	4.1.1.1	30.0
kluyveromyces_lactis	1.1.1.184	45.0
kluyveromyces_lactis	2.7.7.50	30.0
kluyveromyces_lactis	2.7.1.1	25.0
kluyveromyces_lactis	2.4.1.173	30.0
kluyveromyces_lactis	3.4.16.6	25.0
kluyveromyces_lactis	3.6.1.42	30.0
pseudomonas_plecoglossicida	2.1.2.1	40.0
pseudomonas_plecoglossicida	3.5.3.6	37.0
ranunculus_acris	4.2.1.B8	25.0
shigella_flexneri	2.4.1.78	37.0
shigella_flexneri	3.1.3.2	30.0
ralstonia_pickettii	3.5.1.77	40.0
ralstonia_pickettii	3.5.2.2	50.0
ralstonia_pickettii	1.3.1.32	30.0
ralstonia_pickettii	3.1.1.75	30.0
ralstonia_pickettii	3.1.1.75	37.0
ralstonia_pickettii	3.1.1.75	37.0
ralstonia_pickettii	3.1.1.75	37.0
girella_punctata	1.16.1.3	40.0
girella_punctata	1.16.1.5	40.0
feline_immunodeficiency	3.4.23.B4	37.0
feline_immunodeficiency	3.6.1.23	7.0
chlorobium_vibrioforme	1.4.1.14	30.0
musa_acuminata	1.13.11.58	40.0
musa_acuminata	4.2.2.2	37.0
musa_acuminata	1.14.15.17	20.0
musa_acuminata	1.10.3.1	25.0
musa_acuminata	1.1.1.263	50.0
musa_acuminata	1.14.18.1	25.0
musa_acuminata	3.2.1.15	40.0
tetrahymena_pyriformis	3.1.3.51	40.0
tetrahymena_pyriformis	2.7.3.3	25.0
tetrahymena_pyriformis	2.2.1.5	30.0
tetrahymena_pyriformis	6.1.1.9	27.5
tetrahymena_pyriformis	2.3.3.16	37.0
tetrahymena_pyriformis	5.4.2.9	25.0
tetrahymena_pyriformis	5.4.2.9	25.0
tetrahymena_pyriformis	5.4.2.9	30.0
tetrahymena_pyriformis	2.4.2.9	40.0
tetrahymena_pyriformis	1.2.1.12	35.0
tetrahymena_pyriformis	2.7.8.2	22.0
tetrahymena_pyriformis	3.1.27.1	37.0
tetrahymena_pyriformis	4.2.1.70	30.0
tetrahymena_pyriformis	2.3.1.52	25.0
tetrahymena_pyriformis	6.1.1.4	20.0
tetrahymena_pyriformis	6.1.1.4	35.0
paenibacillus_curdlanolyticus	3.2.1.55	50.0
paenibacillus_curdlanolyticus	3.2.1.139	40.0
paenibacillus_curdlanolyticus	3.2.1.37	50.0
paenibacillus_curdlanolyticus	3.2.1.8	35.0
paenibacillus_curdlanolyticus	3.2.1.8	50.0
paenibacillus_curdlanolyticus	3.2.1.8	60.0
paenibacillus_curdlanolyticus	3.2.1.131	40.0
mesocricetus_auratus	2.8.2.34	37.0
mesocricetus_auratus	3.3.2.11	37.0
mesocricetus_auratus	2.7.8.1	37.0
mesocricetus_auratus	1.14.99.19	37.0
mesocricetus_auratus	1.14.99.19	37.0
mesocricetus_auratus	2.4.1.155	37.0
mesocricetus_auratus	2.4.1.155	37.0
mesocricetus_auratus	2.4.1.155	37.0
mesocricetus_auratus	2.4.1.155	37.0
mesocricetus_auratus	3.6.1.42	37.0
mesocricetus_auratus	2.4.2.36	22.0
mesocricetus_auratus	2.4.2.30	25.0
mesocricetus_auratus	1.1.1.239	25.0
mesocricetus_auratus	2.7.11.15	30.0
mesocricetus_auratus	1.1.1.218	25.0
mesocricetus_auratus	1.1.1.218	25.0
mesocricetus_auratus	1.1.1.51	25.0
mesocricetus_auratus	1.1.1.B40	37.0
mesocricetus_auratus	2.3.1.56	37.0
mesocricetus_auratus	1.4.3.4	37.0
mesocricetus_auratus	1.1.1.10	25.0
mesocricetus_auratus	2.4.1.148	37.0
mesocricetus_auratus	2.4.1.143	37.0
mesocricetus_auratus	2.4.1.101	37.0
mesocricetus_auratus	1.3.1.22	37.0
mesocricetus_auratus	4.4.1.13	37.0
mesocricetus_auratus	2.8.2.20	30.0
mesocricetus_auratus	1.1.1.213	25.0
mesocricetus_auratus	1.1.1.213	25.0
mesocricetus_auratus	2.3.1.5	23.0
mesocricetus_auratus	2.3.1.5	25.0
mesocricetus_auratus	2.3.1.5	25.0
mesocricetus_auratus	3.1.2.19	25.0
mesocricetus_auratus	3.1.2.18	25.0
mesocricetus_auratus	3.5.2.3	37.0
mesocricetus_auratus	2.4.1.79	37.0
ostreococcus_tauri	2.7.11.22	30.0
ostreococcus_tauri	2.7.7.27	37.0
ostreococcus_tauri	3.1.26.5	37.0
thermomonospora_curvata	2.4.1.18	55.0
thermomonospora_curvata	3.1.1.101	55.0
thermomonospora_curvata	3.1.1.101	60.0
thermomonospora_curvata	3.2.1.1	65.0
thermomonospora_curvata	3.2.1.1	65.0
thermomonospora_curvata	3.2.1.1	65.0
thermomonospora_curvata	3.2.1.20	54.0
porphyromonas_gingivalis	3.4.21.50	37.0
porphyromonas_gingivalis	3.4.22.47	22.0
porphyromonas_gingivalis	3.4.22.47	22.0
porphyromonas_gingivalis	3.4.22.47	22.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	37.0
porphyromonas_gingivalis	3.4.22.47	40.0
porphyromonas_gingivalis	3.4.22.47	40.0
porphyromonas_gingivalis	3.4.11.4	42.0
porphyromonas_gingivalis	2.7.1.90	37.0
porphyromonas_gingivalis	3.4.22.B8	45.0
porphyromonas_gingivalis	3.5.3.15	55.0
porphyromonas_gingivalis	5.4.3.3	37.0
porphyromonas_gingivalis	1.2.1.42	30.0
porphyromonas_gingivalis	3.5.3.12	37.0
porphyromonas_gingivalis	4.2.1.1	20.0
porphyromonas_gingivalis	4.4.1.11	30.0
porphyromonas_gingivalis	3.4.14.12	25.0
porphyromonas_gingivalis	3.4.14.12	37.0
porphyromonas_gingivalis	3.4.14.12	37.0
porphyromonas_gingivalis	3.4.14.12	42.0
porphyromonas_gingivalis	3.5.3.6	55.0
porphyromonas_gingivalis	3.4.22.37	22.0
porphyromonas_gingivalis	3.4.22.37	22.0
porphyromonas_gingivalis	3.4.22.37	22.0
porphyromonas_gingivalis	3.4.22.37	22.0
porphyromonas_gingivalis	3.4.22.37	30.0
