Protein-coding Genes,High Temp log2FC,High Temp FDR,,,,,,,
YBR001C,1.245042995,3.73709E-20,,,,,,,
YBR019C,1.977119299,2.67922E-11,,,,,,,
YHR163W,-1.064066244,4.25687E-06,,,,,,,
YJL082W,0.647491828,5.00463E-05,,,,,,,
YER081W,-1.321034085,1.39563E-05,,,,,,,
YJL137C,0.893157203,7.71388E-06,,,,,,,
YPR058W,-0.729673257,7.29044E-06,,,,,,,
YDR009W,0.659844631,6.74751E-05,,,,,,,
YEL016C,0.702056633,8.02651E-05,,,,,,,
YEL034W,-0.664047701,0.000425866,,,,,,,
YIL159W,0.649962598,2.8601E-05,,,,,,,
YPR145W,-0.731852959,0.000135096,,,,,,,
YKL006W,-0.974527935,0.000197753,,,,,,,
YNL068C,0.64482623,0.000406652,,,,,,,
YER054C,0.896995028,0.00018538,,,,,,,
YLR058C,-1.129179788,0.000210327,,,,,,,
YGR070W,0.554859757,0.000575603,,,,,,,
YLR043C,-0.67996513,0.000475384,,,,,,,
YDR409W,0.601027001,0.000726081,,,,,,,
YAR042W,0.660773477,0.000887202,,,,,,,
YKL180W,-0.789042613,0.001000029,,,,,,,
YBR104W,-0.660205472,0.00031931,,,,,,,
YLR029C,-0.78336754,0.001479986,,,,,,,
YOR156C,0.637855312,0.00095326,,,,,,,
YPL174C,0.571948605,0.000887202,,,,,,,
YOR120W,-1.022492613,0.000151569,,,,,,,
YML085C,-0.501764864,0.003076212,,,,,,,
YDR418W,-0.732611224,0.002043002,,,,,,,
YNL302C,-0.95369422,0.001682746,,,,,,,
YDR471W,-0.770172936,0.002064176,,,,,,,
YOR167C,-0.810386556,0.00139567,,,,,,,
YGR034W,-0.884475326,0.001423711,,,,,,,
YJR145C,-0.81017518,0.002441025,,,,,,,
YPR013C,0.886758951,0.001373075,,,,,,,
YOL092W,-0.772778789,0.002031154,,,,,,,
YER131W,-0.686380699,0.003047356,,,,,,,
YGR118W,-0.851077582,0.002883035,,,,,,,
YLR061W,-0.735097937,0.002542741,,,,,,,
YPR043W,-0.732502711,0.003264453,,,,,,,
YLL045C,-0.765320771,0.002658628,,,,,,,
YMR242C,-0.791709742,0.002441025,,,,,,,
YDR490C,0.503928966,0.002371283,,,,,,,
YBL061C,0.483899835,0.002441025,,,,,,,
YBR294W,-0.498939863,0.005675499,,,,,,,
YIL018W,-1.14826602,0.002441025,,,,,,,
YIL074C,-0.873294142,0.002441025,,,,,,,
YBR191W,-0.732532074,0.004348333,,,,,,,
YPR154W,0.744066919,0.003031286,,,,,,,
YBR031W,-0.741296169,0.002441025,,,,,,,
YEL041W,-1.012276971,9.53228E-07,,,,,,,
YBR181C,-0.558546848,0.006018789,,,,,,,
YDR200C,0.483462299,0.004397211,,,,,,,
YIL052C,-0.874251377,0.003551238,,,,,,,
YPL198W,-0.673830789,0.005390696,,,,,,,
YJL177W,-0.734904449,0.005407729,,,,,,,
YBL072C,-0.87443708,0.00373494,,,,,,,
YDR025W,-0.720870824,0.00576208,,,,,,,
YDR233C,-0.787889156,0.001245482,,,,,,,
YLR153C,-0.760836254,0.005533422,,,,,,,
YDL082W,-0.535497737,0.008265864,,,,,,,
YGL253W,-0.701948055,0.00521991,,,,,,,
YIL133C,-0.581896943,0.007260113,,,,,,,
YKL121W,0.367976188,0.009326629,,,,,,,
YPL220W,-0.868585855,0.005829047,,,,,,,
YFR031C-A,-0.585795913,0.007377674,,,,,,,
YHR021C,-1.075132088,0.005675499,,,,,,,
YHR161C,0.676284489,0.00753207,,,,,,,
YGL147C,-1.585213249,0.00505548,,,,,,,
YDR224C,-0.915360767,0.004734227,,,,,,,
YML075C,-0.642940104,0.005980456,,,,,,,
YOL120C,-0.93408472,0.006728141,,,,,,,
YGR283C,-0.650064874,0.001615614,,,,,,,
YER031C,-0.424449465,0.007779913,,,,,,,
YIL069C,-0.775980289,0.007576569,,,,,,,
YHR162W,-0.679970693,0.003504268,,,,,,,
YGL031C,-0.80843805,0.007997878,,,,,,,
YPL037C,-0.622056374,0.008502834,,,,,,,
YPR132W,-1.130102167,0.006047352,,,,,,,
YJL190C,-1.042634899,0.00630392,,,,,,,
