Protein-coding Genes,High Temp log2FC,High Temp FDR,,,,,,,
YGR238C,0.477615128,0.010023776,,,,,,,
YJR094W-A,-0.818582214,0.006827779,,,,,,,
YGL101W,-0.473730299,0.008106878,,,,,,,
YPL249C-A,-0.73311392,0.009010091,,,,,,,
YMR104C,0.415029656,0.017812603,,,,,,,
YHR203C,-0.622544039,0.012320576,,,,,,,
YER102W,-1.045293499,0.009178623,,,,,,,
YMR142C,-0.907269281,0.009980096,,,,,,,
YDR012W,-0.615013576,0.009295859,,,,,,,
YER117W,-0.790209162,0.010507494,,,,,,,
YOR312C,-0.744183672,0.01207616,,,,,,,
YDL075W,-0.99085882,0.010376086,,,,,,,
YDR026C,0.468905779,0.011456678,,,,,,,
YHR010W,-0.704293352,0.012820844,,,,,,,
YDR225W,-0.90993297,0.00988332,,,,,,,
YPL090C,-0.969215361,0.010791675,,,,,,,
YHR115C,0.473841841,0.014330258,,,,,,,
YLR406C,-0.701874925,0.011263762,,,,,,,
YOR293W,-0.587253628,0.014330258,,,,,,,
YDR450W,-1.007099211,0.012236751,,,,,,,
YDR379W,0.485912428,0.010785028,,,,,,,
YCR073C,0.520237135,0.007795926,,,,,,,
YDR155C,-0.808470778,0.012320576,,,,,,,
YLR083C,-0.477992615,0.016871328,,,,,,,
YKR013W,0.593894848,0.00571007,,,,,,,
YLR185W,-0.812660316,0.013668783,,,,,,,
YHR141C,-0.870717584,0.014132262,,,,,,,
YBR062C,-0.460941468,0.016293738,,,,,,,
YML027W,0.626873438,0.013346616,,,,,,,
YPL079W,-0.945761527,0.014159366,,,,,,,
YBR048W,-0.554137249,0.017812603,,,,,,,
YGR148C,-0.733105786,0.015254458,,,,,,,
YFR014C,-0.346258983,0.020326981,,,,,,,
YMR143W,-0.764278467,0.014962055,,,,,,,
YFL039C,-0.886879095,0.015632366,,,,,,,
YML024W,-1.071688799,0.014107927,,,,,,,
YOR286W,-0.572666804,0.014443681,,,,,,,
YBR147W,-0.526697146,0.009010091,,,,,,,
YER074W,-1.118352974,0.014330258,,,,,,,
YJL198W,-0.448535875,0.01191334,,,,,,,
YGL076C,-1.039272067,0.016553431,,,,,,,
YMR006C,-0.573625949,0.010730186,,,,,,,
YKL081W,-0.612091329,0.018569106,,,,,,,
YGL189C,-0.635824457,0.021139834,,,,,,,
YOL121C,-0.626899576,0.019215048,,,,,,,
YGR192C,-1.110581742,0.015214014,,,,,,,
YDR151C,0.335502063,0.02317242,,,,,,,
YBL027W,-0.573465125,0.024948701,,,,,,,
YMR194W,-0.740390977,0.015737451,,,,,,,
YPR102C,-1.01533349,0.018645213,,,,,,,
YDR500C,-0.548848103,0.025249868,,,,,,,
YCR031C,-0.992717893,0.018815518,,,,,,,
YDL191W,-0.658831307,0.021390886,,,,,,,
YIL131C,0.399385349,0.020766888,,,,,,,
YGL021W,0.634291102,0.017612064,,,,,,,
YML026C,-0.895447419,0.020737551,,,,,,,
YFL034C-A,-0.728322391,0.019160971,,,,,,,
YDL083C,-0.987292956,0.020876181,,,,,,,
YNL001W,-0.432746502,0.023390699,,,,,,,
YEL054C,-0.479452768,0.030628137,,,,,,,
YDL137W,-0.677170257,0.023343338,,,,,,,
YGR136W,0.443396437,0.024784424,,,,,,,
YBL056W,-0.563577479,0.024644001,,,,,,,
YMR043W,0.940184208,0.022463731,,,,,,,
YOR375C,-1.376312903,0.010730186,,,,,,,
YBR084C-A,-0.497893795,0.033182545,,,,,,,
YNL162W,-1.109542463,0.023390699,,,,,,,
YGR124W,-0.548858852,0.004346941,,,,,,,
YGR243W,0.646138783,0.017465045,,,,,,,
YKR057W,-1.227155731,0.025312834,,,,,,,
YBL087C,-0.583701969,0.02749951,,,,,,,
YNL110C,-0.371901139,0.015100432,,,,,,,
YGR085C,-0.822970353,0.029388258,,,,,,,
YBR082C,0.439858056,0.036600576,,,,,,,
YMR121C,0.556006674,0.029661844,,,,,,,
YDL088C,0.340936195,0.033601672,,,,,,,
YPL140C,0.401636561,0.030038118,,,,,,,
YOR304W,0.373876834,0.032825256,,,,,,,
YOR040W,0.330018701,0.03383357,,,,,,,
YOR096W,-1.055366437,0.029671801,,,,,,,
YCR026C,0.340829739,0.036254705,,,,,,,
YML056C,-0.840650779,0.025039049,,,,,,,
YDL066W,-0.381003841,0.031491151,,,,,,,
YBL016W,0.376679149,0.032070613,,,,,,,
YIR037W,-0.574117503,0.034775181,,,,,,,
YIL045W,0.473413058,0.015100432,,,,,,,
YHL033C,-0.709631709,0.032222373,,,,,,,
YHL003C,-0.309992459,0.045996267,,,,,,,
YOR374W,-0.537006106,0.020898507,,,,,,,
YGL135W,-0.71307805,0.035370659,,,,,,,
YOR089C,0.910594213,0.033328683,,,,,,,
YGR027C,-0.358100567,0.049854422,,,,,,,
YKR029C,0.293208919,0.043608222,,,,,,,
YER139C,0.408753577,0.043184048,,,,,,,
YGL073W,0.452506317,0.042401234,,,,,,,
YIL113W,0.601768489,0.016615833,,,,,,,
YFL053W,-0.829655013,0.013346616,,,,,,,
YNR023W,0.457930745,0.038741324,,,,,,,
YDR447C,-0.986545588,0.03594941,,,,,,,
YBL002W,-0.423891385,0.052849634,,,,,,,
YGR254W,-0.937294507,0.036738249,,,,,,,
YOL115W,-0.297615368,0.048592435,,,,,,,
YPL119C,0.376114459,0.046894175,,,,,,,
YLR328W,-0.466528374,0.047946236,,,,,,,
YGR241C,0.538631474,0.047439183,,,,,,,
YGR209C,-0.834415495,0.044719212,,,,,,,
YHL039W,-0.378154533,0.038740914,,,,,,,
YDL134C,-0.425253543,0.059128635,,,,,,,
YBL003C,-1.009461397,0.047433998,,,,,,,
YJL136C,-0.350716522,0.068184411,,,,,,,
YBL067C,0.254527004,0.098673349,,,,,,,
YNL116W,0.29663396,0.041240694,,,,,,,
YDR451C,0.304973334,0.062823604,,,,,,,
YGL179C,0.412628575,0.031868356,,,,,,,
YOR234C,-0.721263588,0.061016002,,,,,,,
YER119C,0.389684144,0.015737451,,,,,,,
YDL042C,0.416125041,0.042080973,,,,,,,
YPR069C,-0.477472899,0.061963373,,,,,,,
YBR183W,-0.37423377,0.064788946,,,,,,,
YKR018C,-0.33033168,0.079033853,,,,,,,
YLR344W,-0.305613082,0.088551631,,,,,,,
YPL074W,0.359792201,0.056723074,,,,,,,
YHR158C,0.268907476,0.067373306,,,,,,,
YNL106C,0.407104575,0.031657603,,,,,,,
YCR038C,0.420035811,0.037255502,,,,,,,
YLR264W,-0.917749136,0.065826485,,,,,,,
YMR230W,-0.350244458,0.089078409,,,,,,,
YOR222W,-0.438873177,0.049872037,,,,,,,
YLR270W,-0.510910156,0.07613766,,,,,,,
YBR172C,0.366475407,0.069832279,,,,,,,
YER133W,-0.448911319,0.087134371,,,,,,,
YER096W,0.546533164,0.024948701,,,,,,,
YMR297W,-0.430681835,0.037613168,,,,,,,
YKR095W,0.331527708,0.082878575,,,,,,,
YBR140C,0.282825553,0.076935729,,,,,,,
YAL015C,0.323720112,0.080072787,,,,,,,
YPR052C,-0.418936817,0.054235626,,,,,,,
YGL049C,0.390860579,0.083364365,,,,,,,
YBR218C,-0.345883736,0.089894163,,,,,,,
YMR310C,0.496863821,0.087299554,,,,,,,
YOR231W,0.332803011,0.082452082,,,,,,,
YOR033C,0.338002338,0.074103513,,,,,,,
YDR497C,-0.332701506,0.098583017,,,,,,,
YER089C,-0.270933936,0.09347201,,,,,,,
YMR222C,-0.344079692,0.092464765,,,,,,,
YBR241C,-0.322101208,0.046894175,,,,,,,
YDR252W,-0.538853736,0.042008044,,,,,,,
YDR513W,-0.853745332,0.101386037,,,,,,,
YPL191C,-0.364082099,0.096414237,,,,,,,
YOR244W,0.277068517,0.104709531,,,,,,,
YBL085W,0.340117362,0.118009369,,,,,,,
YJL134W,-0.323101927,0.132809193,,,,,,,
YHR031C,-0.305404509,0.063040457,,,,,,,
YDL019C,0.237172738,0.125151588,,,,,,,
YNR065C,0.363739304,0.110733849,,,,,,,
YNL067W,-0.917517653,0.124529691,,,,,,,
YJR131W,0.349393373,0.12075026,,,,,,,
YBR049C,0.217040743,0.170139425,,,,,,,
YPL177C,0.346515648,0.133118274,,,,,,,
YER057C,-0.221301684,0.150973017,,,,,,,
YLR333C,-0.818913531,0.130279881,,,,,,,
YAL017W,0.210731695,0.171879783,,,,,,,
YPL087W,-0.479654686,0.138010231,,,,,,,
YJL083W,0.316092617,0.119563654,,,,,,,
YMR205C,-0.307002617,0.164096966,,,,,,,
YCL037C,0.987979781,0.057881926,,,,,,,
YOL103W,0.210815658,0.175638895,,,,,,,
YJL105W,-0.774752999,0.050740049,,,,,,,
YDR458C,-0.202111322,0.195720472,,,,,,,
YOL112W,0.417535,0.174021929,,,,,,,
YPL240C,0.283656154,0.15041812,,,,,,,
YFR053C,-0.323718094,0.155718916,,,,,,,
YER114C,0.199889169,0.212846889,,,,,,,
YNL096C,-0.327659917,0.203052154,,,,,,,
YHR050W,0.200319999,0.215820677,,,,,,,
YDL136W,-0.20497939,0.247894459,,,,,,,
YOR127W,0.172857032,0.236907174,,,,,,,
YOR290C,0.225906596,0.233077647,,,,,,,
YLR350W,0.231014625,0.207885259,,,,,,,
YHL001W,-0.468702316,0.21054757,,,,,,,
YDR099W,-0.237912821,0.26504409,,,,,,,
YER027C,0.290222285,0.221907589,,,,,,,
YNL299W,0.302984417,0.21054757,,,,,,,
YPL134C,-0.317652691,0.222915204,,,,,,,
YBL089W,-0.246063256,0.221077154,,,,,,,
YDR358W,0.212665638,0.258489975,,,,,,,
YLR174W,-0.264530232,0.269572656,,,,,,,
YGL208W,0.172706877,0.24843638,,,,,,,
YKL156W,-0.201570181,0.289006414,,,,,,,
YBR242W,-0.234042051,0.275239823,,,,,,,
YDL024C,0.306640465,0.199114834,,,,,,,
YGR108W,-0.213902936,0.186439737,,,,,,,
YCL035C,0.194520784,0.310904555,,,,,,,
YGL002W,-0.188252763,0.305421932,,,,,,,
YCR052W,0.207112629,0.283084421,,,,,,,
YOR270C,-0.277727432,0.29551394,,,,,,,
YKL141W,-0.202519754,0.306231622,,,,,,,
YMR183C,-0.165083964,0.30538852,,,,,,,
YOR016C,-0.180012592,0.308715419,,,,,,,
YER056C-A,-0.175401809,0.35597468,,,,,,,
YDR263C,0.278923502,0.186643767,,,,,,,
YLR238W,0.185405663,0.304085354,,,,,,,
YBL091C-A,-0.283772589,0.285849967,,,,,,,
YKR053C,-0.390706574,0.08899706,,,,,,,
YBL009W,0.163445297,0.3190767,,,,,,,
YMR089C,0.161727692,0.363745782,,,,,,,
YOR008C,0.184243475,0.369305383,,,,,,,
YIL109C,0.173528476,0.368512501,,,,,,,
YGL096W,0.285748892,0.144559606,,,,,,,
YOL045W,0.158136525,0.258255881,,,,,,,
YOL002C,-0.235965985,0.316758523,,,,,,,
YNL020C,0.18278664,0.319262683,,,,,,,
YLR260W,-0.202657768,0.306411661,,,,,,,
YDR069C,0.167824249,0.362691477,,,,,,,
YGR056W,0.210600966,0.353021174,,,,,,,
YBR089C-A,-0.366572674,0.334265798,,,,,,,
YHR107C,-0.172418792,0.383703694,,,,,,,
YHR047C,0.182018209,0.356352608,,,,,,,
YDR368W,-0.16785834,0.25729589,,,,,,,
YKR052C,0.177642156,0.355992815,,,,,,,
YGR010W,0.130555096,0.408130546,,,,,,,
YJL034W,-0.227239938,0.387857003,,,,,,,
YGL082W,0.193730385,0.393215213,,,,,,,
YGR038W,-0.163759112,0.337692447,,,,,,,
YOL011W,-0.201926833,0.394064296,,,,,,,
YIL149C,0.15827038,0.39094231,,,,,,,
YDR111C,0.144944518,0.408804989,,,,,,,
YDL175C,-0.222187613,0.405452947,,,,,,,
YKR019C,0.155348029,0.383771963,,,,,,,
YAL023C,-0.13754367,0.435249444,,,,,,,
YHR016C,0.148904495,0.445866925,,,,,,,
YJL222W,-0.516242361,0.351470525,,,,,,,
YLR371W,0.121030189,0.466648237,,,,,,,
YDR146C,0.158499099,0.456307289,,,,,,,
YOR036W,0.199466313,0.495168896,,,,,,,
YBL079W,0.118513014,0.480781715,,,,,,,
YML034W,0.120911989,0.508540121,,,,,,,
YOR226C,0.117976694,0.508540121,,,,,,,
YCR037C,-0.112227496,0.543551132,,,,,,,
YKL126W,-0.101745044,0.555662221,,,,,,,
YMR182C,0.2630214,0.524608829,,,,,,,
YDR264C,0.126531006,0.538213281,,,,,,,
YBL017C,-0.090602492,0.57723149,,,,,,,
YDR515W,0.107035604,0.555662221,,,,,,,
YIL006W,0.107826505,0.573392413,,,,,,,
YKL148C,-0.124203045,0.585275104,,,,,,,
YKR058W,0.1089172,0.572319884,,,,,,,
YFR015C,-0.141489832,0.599771248,,,,,,,
YKR003W,-0.093224472,0.573392413,,,,,,,
YOR280C,-0.092070701,0.613933366,,,,,,,
YCR048W,0.115324713,0.535896799,,,,,,,
YBR169C,-0.135022334,0.581277055,,,,,,,
YDR272W,0.081091146,0.656132868,,,,,,,
YDR066C,0.123736174,0.606620662,,,,,,,
YHR066W,-0.108764782,0.623024204,,,,,,,
YAL062W,0.417829017,0.513098893,,,,,,,
YBL063W,0.10062101,0.575210386,,,,,,,
YOR171C,0.066948141,0.67977304,,,,,,,
YNL108C,-0.109117306,0.648314488,,,,,,,
YLR188W,0.073506894,0.672150641,,,,,,,
YNR031C,0.088529705,0.675091353,,,,,,,
YKL008C,-0.179292985,0.660815684,,,,,,,
YHR215W,0.19571042,0.606103572,,,,,,,
YOL081W,0.10165805,0.647069885,,,,,,,
YMR118C,-0.175271508,0.646436043,,,,,,,
YBR139W,0.084434175,0.639835167,,,,,,,
YER105C,0.084969301,0.686873327,,,,,,,
YKL039W,-0.068566558,0.712729939,,,,,,,
YPL048W,0.092820669,0.68279501,,,,,,,
YOL122C,-0.112835356,0.682877442,,,,,,,
YJR049C,0.065923777,0.715113665,,,,,,,
YNL121C,0.087846467,0.720658759,,,,,,,
YPL105C,0.079119323,0.717050383,,,,,,,
YAR002C-A,-0.067373257,0.722125616,,,,,,,
YPL143W,-0.103109866,0.720558695,,,,,,,
YBR105C,0.121378069,0.703835631,,,,,,,
YBR092C,0.094956818,0.690700229,,,,,,,
YJR031C,0.069362584,0.709956495,,,,,,,
YNL148C,0.138058093,0.736280239,,,,,,,
YMR153W,-0.055399173,0.737243468,,,,,,,
YMR008C,0.062132761,0.768624233,,,,,,,
YOR061W,0.054351513,0.784431707,,,,,,,
YDR135C,-0.054279952,0.783986375,,,,,,,
YNR013C,0.077893781,0.758722288,,,,,,,
YDR059C,0.056216238,0.794376835,,,,,,,
YPR015C,0.074497036,0.754994975,,,,,,,
YMR105C,0.105475318,0.732890259,,,,,,,
YJL133W,-0.056202939,0.790436554,,,,,,,
YPL232W,0.061575012,0.81366055,,,,,,,
YNL130C,-0.050776538,0.819172649,,,,,,,
YNR019W,0.049077553,0.813804691,,,,,,,
YOL068C,0.044778659,0.817624554,,,,,,,
YIL079C,-0.062650637,0.793911906,,,,,,,
YOR110W,0.044658745,0.826193372,,,,,,,
YEL022W,0.046571358,0.812320909,,,,,,,
YDR001C,0.044002602,0.844296428,,,,,,,
YHL017W,0.043165166,0.827733707,,,,,,,
YAL007C,-0.044105267,0.813687264,,,,,,,
YOR109W,-0.045588972,0.817513807,,,,,,,
YFL054C,-0.033031039,0.859668556,,,,,,,
YHR108W,-0.040415421,0.839131233,,,,,,,
YJL079C,-0.073449777,0.847929283,,,,,,,
YBR267W,-0.049102901,0.864319946,,,,,,,
YBR020W,-0.066441209,0.860929457,,,,,,,
YHR117W,-0.024976454,0.890105582,,,,,,,
YPR119W,0.041520629,0.896667748,,,,,,,
YEL006W,-0.033620283,0.906961795,,,,,,,
YHR001W,0.021119668,0.919069692,,,,,,,
YIL173W,0.15780152,0.896561919,,,,,,,
YJR148W,0.026671267,0.914669848,,,,,,,
YLR357W,0.024966727,0.921108833,,,,,,,
YOR317W,0.027276593,0.923445613,,,,,,,
YBR244W,0.029355212,0.914669848,,,,,,,
YLR034C,0.019328283,0.94269691,,,,,,,
YAR071W,-0.032630859,0.937172268,,,,,,,
YDR312W,-0.015578939,0.941624567,,,,,,,
YBR093C,0.045552732,0.945966402,,,,,,,
YDL204W,-0.027366351,0.940032403,,,,,,,
YIL051C,-0.014788101,0.953682919,,,,,,,
YLR092W,-0.014489266,0.95025902,,,,,,,
YOR173W,-0.011725902,0.965590684,,,,,,,
YOR134W,-0.022350734,0.963034781,,,,,,,
YHR210C,-0.033783489,0.955218736,,,,,,,
YMR246W,0.009844346,0.97327833,,,,,,,
YNL301C,0.00983324,0.9765506,,,,,,,
YMR102C,0.009074954,0.978361297,,,,,,,
YDL022W,0.007608891,0.981883182,,,,,,,
YGR162W,-0.007218106,0.98442824,,,,,,,
YPL203W,-0.00547375,0.988928058,,,,,,,
YHR123W,0.005259296,0.992840193,,,,,,,
YGR248W,-0.003559458,0.993253863,,,,,,,
YKR036C,0.225663427,0.268477232,,,,,,,
YGR059W,1.452719317,4.42626E-12,,,,,,,
YHR216W,-0.858139175,0.00801006,,,,,,,
YMR238W,-0.596659552,0.007779913,,,,,,,
YLR146C,-0.727895207,0.000504638,,,,,,,
YDL131W,-0.44045973,0.015795794,,,,,,,
YML078W,-0.837922736,0.016600582,,,,,,,
YDR143C,0.352893017,0.08888706,,,,,,,
YJL164C,0.280865223,0.07119299,,,,,,,
YAL005C,-0.450743798,0.081117608,,,,,,,
YOL113W,0.237005415,0.119576829,,,,,,,
YPL270W,-0.139980221,0.422269229,,,,,,,
YGL062W,-0.175682536,0.444428363,,,,,,,
YLR387C,-0.13844372,0.462360239,,,,,,,
YAL054C,0.188561467,0.494715828,,,,,,,
YLR432W,0.149990274,0.583354679,,,,,,,
YLL015W,-0.128374977,0.608279427,,,,,,,
YDL155W,0.072108926,0.697216368,,,,,,,
YCR083W,-0.039948152,0.862729464,,,,,,,
YMR186W,-0.030763483,0.903731559,,,,,,,
YGR201C,-0.8298869,0.020474684,,,,,,,
YCL011C,0.296364785,0.273186206,,,,,,,
YHR092C,-1.924510241,1.43511E-23,,,,,,,
YNL134C,-0.942619719,9.01379E-09,,,,,,,
YLR136C,1.404865298,2.15207E-16,,,,,,,
YLR367W,-0.806239108,1.99559E-05,,,,,,,
YDL085W,0.847348786,0.000345494,,,,,,,
YLR081W,1.762858959,1.61227E-05,,,,,,,
YNL069C,-0.66489112,0.00139567,,,,,,,
YFL011W,1.453661433,3.8302E-05,,,,,,,
YDR342C,-0.661288488,0.000797907,,,,,,,
YPL171C,-1.609857168,1.40422E-08,,,,,,,
YDR345C,-1.829040084,0.000175126,,,,,,,
YDR541C,-0.889387058,0.000945896,,,,,,,
YDL182W,-1.083238283,0.000406652,,,,,,,
YHR094C,-2.237819267,0.000313658,,,,,,,
YDL192W,-0.934959799,0.008315198,,,,,,,
YNL298W,0.619448497,0.010953478,,,,,,,
YOR299W,0.438488988,0.005438703,,,,,,,
YDR343C,-0.772116452,0.006728141,,,,,,,
YJL052W,-0.938357944,0.014443681,,,,,,,
YDR492W,-0.44414748,0.002776428,,,,,,,
YMR145C,-0.637748905,0.03361426,,,,,,,
YGL104C,-0.574127647,0.031759935,,,,,,,
YER059W,0.299482704,0.029651144,,,,,,,
YIL105C,0.334502447,0.034228984,,,,,,,
YOL151W,-0.614995005,0.0065567,,,,,,,
YCR102C,-1.100873763,0.011021816,,,,,,,
YMR011W,-1.029631222,0.0053159,,,,,,,
YMR047C,0.422248952,0.05566035,,,,,,,
YKL046C,-0.400490206,0.059634624,,,,,,,
YER098W,0.355119413,0.066130527,,,,,,,
YPL106C,-0.295691643,0.134389712,,,,,,,
YNL117W,-0.245925249,0.12162658,,,,,,,
YIL050W,0.346857203,0.1118217,,,,,,,
YNL047C,0.246615294,0.134903279,,,,,,,
YGL039W,-0.342758519,0.150261571,,,,,,,
YPL208W,-0.456326619,0.130666755,,,,,,,
YNL004W,0.310892703,0.221712682,,,,,,,
YDR107C,-0.278980086,0.181731585,,,,,,,
YHR208W,-0.252979691,0.26504409,,,,,,,
YOL016C,0.25847952,0.289026528,,,,,,,
YHR179W,-0.335453025,0.351255469,,,,,,,
YDR530C,-0.143484902,0.427098282,,,,,,,
YOL156W,0.418637717,0.358026874,,,,,,,
YLR460C,-0.235121173,0.464575982,,,,,,,
YGL157W,-0.192074372,0.481752222,,,,,,,
YMR237W,-0.116822956,0.564277495,,,,,,,
YOR086C,-0.104652378,0.585790563,,,,,,,
YKL068W,0.113523342,0.587862227,,,,,,,
YER017C,-0.088728239,0.638351803,,,,,,,
YJL191W,-0.125200632,0.609167794,,,,,,,
YKR089C,0.078815392,0.622947077,,,,,,,
YOL059W,0.092209837,0.671049695,,,,,,,
YIL095W,-0.078647846,0.695783686,,,,,,,
YHR096C,-0.140673527,0.677780464,,,,,,,
YOL043C,0.07760862,0.676931079,,,,,,,
YKL027W,-0.076284326,0.701846252,,,,,,,
YDL188C,-0.06298913,0.728627582,,,,,,,
YPL135W,-0.092685389,0.73220472,,,,,,,
YGL210W,0.069382783,0.737243468,,,,,,,
YCL050C,0.067336956,0.776704802,,,,,,,
YIL126W,-0.049724087,0.795183938,,,,,,,
YJL112W,-0.045790337,0.794858763,,,,,,,
YIR031C,0.097035444,0.777498053,,,,,,,
YLR210W,-0.063329108,0.802109328,,,,,,,
YNL087W,-0.048639385,0.835914753,,,,,,,
YKL157W,-0.044265713,0.848196046,,,,,,,
YNL053W,-0.034547055,0.886093437,,,,,,,
YJL219W,0.055028126,1,,,,,,,
YJL214W,0.001734734,1,,,,,,,
YER037W,0.169589131,0.608279427,,,,,,,
YLR372W,-0.866766829,0.000827765,,,,,,,
YMR306W,0.536096239,0.002441025,,,,,,,
YDR276C,-0.303875656,0.098583017,,,,,,,
YLL024C,-0.444679855,0.096795986,,,,,,,
YFL041W,-0.156519651,0.356220998,,,,,,,
YGR199W,-0.178612143,0.350369017,,,,,,,
YGR032W,-0.132973832,0.547747511,,,,,,,
YOL084W,-0.192400571,0.369305383,,,,,,,
YBL042C,-0.087998927,0.740734933,,,,,,,
YOR328W,1.134786328,2.46849E-05,,,,,,,
YOR081C,0.567587304,0.000651912,,,,,,,
YJL045W,0.641948227,0.000464923,,,,,,,
YMR042W,0.912926096,0.00173384,,,,,,,
YPL273W,-0.87873503,0.001058464,,,,,,,
YGL224C,-0.907712516,0.000464923,,,,,,,
YKL127W,-0.386724244,0.014304252,,,,,,,
YKR076W,-0.70377467,0.006614738,,,,,,,
YJR009C,-0.912052309,0.010376086,,,,,,,
YLR044C,-0.591494273,0.019613967,,,,,,,
YOR153W,0.486053932,0.012329352,,,,,,,
YCR034W,-0.834899024,0.020968176,,,,,,,
YIR028W,0.726319407,0.013362061,,,,,,,
YDL224C,0.41663993,0.046894175,,,,,,,
YOR204W,-0.433147151,0.040418956,,,,,,,
YNL197C,0.553955738,0.041906442,,,,,,,
YGL133W,0.27080492,0.075536173,,,,,,,
YNL173C,0.399398949,0.050859076,,,,,,,
YNL271C,0.299660832,0.059619297,,,,,,,
YPL258C,0.36493053,0.049063315,,,,,,,
YMR095C,-0.848141137,0.017562868,,,,,,,
YMR177W,0.347671717,0.125201422,,,,,,,
YER120W,0.320401316,0.15648327,,,,,,,
YML118W,0.377488619,0.128490155,,,,,,,
YDR389W,0.299380975,0.146290147,,,,,,,
YNR067C,0.393207503,0.098092178,,,,,,,
YPR121W,-0.289248448,0.138010231,,,,,,,
YLL062C,-0.287386177,0.176454631,,,,,,,
YHR003C,-0.313121315,0.202467201,,,,,,,
YGR087C,-0.258793868,0.157367642,,,,,,,
YMR266W,-0.360208179,0.173791309,,,,,,,
YDR406W,0.161020831,0.294831434,,,,,,,
